অইংবা	অ_beg ইং_mid বা_end
ইথন্তা	ই_beg থন্_mid তা_end
ইথন্দা	ই_beg থন্_mid দা_end
ইথা	ই_beg থা_end
ইথৌ	ই_beg থৌ_end
ইথৌনা	ই_beg থৌ_mid না_end
ইদগাহ	ইদ_beg গাহ_end
ইদুনা	ই_beg দু_mid না_end
ইদ্জুকেসন	ইদ্_beg জু_mid কে_mid সন_end
ইন	ইন_beg
ইনকমগা	ইন _beg কম_mid গা_end
ইনকম্গা	ইন_beg কম্_mid গা_end
ইনখত্লক্লিবী	ইন_beg খত্_mid লক্_mid লি_mid বী_end
ইনঙ্গন্দা	ই_beg নঙ্_mid গন্_mid দা_end
ইনপী	ইন_beg পী_end
ইনফি	ই_beg ন_mid ফি_end
ইনফোর্মেসন	ইন_beg ফোর্_mid মে_mid সন_end
ইনফ্রাষত্রক্চর	ইন_beg _mid ফ্রাষ_mid ত্রক্_mid চর_end
ইনভাইতেসন	ইন_beg ভাই_mid তে_mid সন_end
ইনম্গাসি	ই_beg নম্_mid গা_mid সি_end
ইনস্তিত্যুতশিংদা	ইন_beg স্তি_mid ত্যুত_mid শিং_mid দা_end
ইনস্তোলেসন	ইনস্_beg তো_mid লে_mid সন_end
ইনা	ই_beg না_end
ইনাই	ই_beg নাই_end
ইনাও	ই_beg নাও_end
ইনাওতোম্বী	ই_beg নাও_mid তোম্_mid বী_end
ইনাওনা	ই_beg নাও_mid না_end
ইনাওবিগী	ই_beg নাও_mid বি_mid গী_end
ইনাওশা	ই_beg নাও_mid শা_end
ইনাক	ই_beg নাক_end
ইনাক্	ই_beg নাক্_end
ইনাক্খুন্বদুনা	ই_beg নাক্_mid খুন্_mid ব_mid দু_mid না_end
ইনাক্খুন্বনা	ই_beg নাক্_mid খুন্_mid ব_mid না_end
ইনাক্খুন্বা	ই_beg নাক্_mid খুন্_mid বা_end
ইনিংথৌ	ই_beg নিং_mid থৌ_end
ইনিংথৌগী	ই_beg নিং_mid থৌ_mid গী_end
ইনিংথৌনা	ই_beg নিং_mid থৌ_mid না_end
ইনীং	ই_beg নীং_end
ইনোবেতিব	ই_beg নো_mid বে_mid তিব_end
ইন্	ইন্_beg
ইন্খত্চগে	ইন্_beg খত্_mid চ_mid গে_end
ইন্খত্লক্পগী	ইন্_beg খত্_mid লক্_mid প_mid গী_end
ইন্খাং	ইন্_beg খাং_end
ইন্জরক্কে	ইন্_beg জ_mid রক্_mid কে_end
ইন্টরষ্টেট	ইন্_beg টর_mid ষ্টেট_end
ইন্টরেষ্ট	ইন্_beg ট_mid রেষ্ট_end
ইন্টরেষ্টপু	ইন্_beg ট_mid রেষ্ট_mid পু_end
ইন্টর্নেসনেল	ইন্_beg টর্_mid নেস_mid নেল_end
ইন্তর	ইন্_beg তর_end
ইন্তরনেসনেল	ইন্_beg তর_mid নেস_mid নেল_end
ইন্থখ্রে	ইন্_beg থ_mid খ্রে_end
ইন্থদুনা	ইন্_beg থ_mid দু_mid না_end
ইন্থবা	ইন্_beg থ_mid বা_end
ইন্থবীদুনা	ইন্_beg থ_mid বী_mid দু_mid না_end
ইন্থরিবা	ইন্_beg থ_mid রি_mid বা_end
ইন্থরে	ইন্_beg থ_mid রে_end
ইন্থুরগা	ইন্_beg থু_mid র_mid গা_end
ইন্থোক্পিরক্পা	ইন্_beg থোক্_mid পি_mid রক্_mid পা_end
ইন্থোক্লে	ইন্_beg থোক্_mid লে_end
ইন্থোরক্লে	ইন্_beg থো_mid রক্_mid লে_end
ইন্দিয়ন	ইন্_beg দি_mid য়ন_end
ইন্দিয়নওইল	ইন্_beg দি_mid য়ন_mid ওইল_end
ইন্দিয়া	ইন্_beg দি_mid য়া_end
ইন্দিয়াগা	ইন্_beg দি_mid য়া_mid গা_end
ইন্দিয়াগী	ইন্_beg দি_mid য়া_mid গী_end
ইন্দিয়ান	ইন্_beg দি_mid য়ান_end
ইন্দিরাগী	ইন্_beg দি_mid রা_mid গী_end
ইন্দুনা	ইন্_beg দু_mid না_end
ইন্দো	ইন্_beg দো_end
ইন্দোন	ইন্_beg দোন_end
ইন্দোন্	ইন্_beg দোন্_end
ইন্দোন্সু	ইন্_beg দোন্_mid সু_end
ইন্দ্রসেন	ইন্_beg দ্র_mid সেন_end
ইন্দ্রিমখৈ	ইন্_beg দ্রি_mid ম_mid খৈ_end
ইন্ননা	ইন্_beg ন_mid না_end
ইন্নফি	ইন্_beg ন_mid ফি_end
ইন্নবা	ইন্_beg ন_mid বা_end
ইন্নর	ইন্_beg নর_end
ইন্না	ইন্_beg না_end
ইন্নৈ	ইন্_beg নৈ_end
ইন্ফোর্মেসন	ইন্_beg ফোর্_mid মে_mid সন_end
ইন্বা	ইন্_beg বা_end
ইন্বিরক্ই	ইন্_beg বি_mid রক্_mid ই_end
ইন্বীবোইরে	ইন্_beg বী_mid বোই_mid রে_end
ইন্বীয়ু	ইন্_beg বী_mid য়ু_end
ইন্বীরবোইরে	ইন্_beg বী_mid র_mid বোই_mid রে_end
ইন্বীরে	ইন্_beg বী_mid রে_end
ইন্শাং	ইন্_beg শাং_end
ইন্শাংগী	ইন্_beg শাং_mid গী_end
ইন্শিন্দগী	ইন্_beg শিন্_mid দ_mid গী_end
ইন্শিল্লি	ইন্_beg শিল্_mid লি_end
ইন্সপেক্টর	ইন্স_beg পেক্_mid টর_end
ইন্সপেক্তর	ইন্স_beg পেক্_mid তর_end
ইন্স্তোলেসন্গী	ইন্স্_beg তো_mid লে_mid সন্_mid গী_end
ইন্হন্দুনা	ইন্_beg হন্_mid দু_mid না_end
ইপৱা	ই_beg প_mid ৱা_end
ইপা	ই_beg পা_end
ইপাই	ই_beg পাই_end
ইপাগী	ই_beg পা_mid গী_end
ইপাঙ্গল	ই_beg পাঙ্_mid গল_end
ইপাঙ্গল্	ই_beg পাঙ্_mid গল্_end
ইপাঙ্গল্না	ই_beg পাঙ্_mid গল্_mid না_end
ইপাদি	ই_beg পা_mid দি_end
ইপানা	ই_beg পা_mid না_end
ইপাবু	ই_beg পা_mid বু_end
ইপাম্দা	ই_beg পাম্_mid দা_end
ইপাসু	ই_beg পা_mid সু_end
ইপু	ই_beg পু_end
ইপুগী	ই_beg পু_mid গী_end
ইপুনা	ই_beg পু_mid না_end
ইপুবু	ই_beg পু_mid বু_end
ইপুশিংগী	ই_beg পু_mid শিং_mid গী_end
ইপুশিংদুগী	ই_beg পু_mid শিং_mid দু_mid গী_end
ইপুশিংনা	ই_beg পু_mid শিং_mid না_end
ইপোম	ই_beg পোম_end
ইপোম্	ই_beg পোম্_end
ইফ	ইফ_beg
ইফা	ই_beg ফা_end
ইফ্	ইফ্_beg
ইবদুবু	ই_beg ব_mid দু_mid বু_end
ইবানি	ই_beg বা_mid নি_end
ইবানীনা	ই_beg বা_mid নী_mid না_end
ইবুং	ই_beg বুং_end
ইবুংগী	ই_beg বুং_mid গী_end
ইবুংঙো	ই_beg বুং_mid ঙো_end
ইবুংঙোগী	ই_beg বুং_mid ঙো_mid গী_end
ইবুংঙোদা	ই_beg বুং_mid ঙো_mid দা_end
ইবুংঙোদি	ই_beg বুং_mid ঙো_mid দি_end
ইবুংঙোনা	ই_beg বুং_mid ঙো_mid না_end
ইবুংঙোবু	ই_beg বুং_mid ঙো_mid বু_end
ইবুঙো	ই_beg বু_mid ঙো_end
ইবুধৌ	ই_beg বু_mid ধৌ_end
ইবেন	ই_beg বেন_end
ইবেন্	ই_beg বেন্_end
ইবেন্গী	ই_beg বেন্_mid গী_end
ইবেন্তনি	ই_beg বেন্_mid ত_mid নি_end
ইবেন্না	ই_beg বেন্_mid না_end
ইবেম্মগী	ই_beg বেম্_mid ম_mid গী_end
ইবেম্মগীসি	ই_beg বেম্_mid ম_mid গী_mid সি_end
ইবেম্মনা	ই_beg বেম্_mid ম_mid না_end
ইবেম্মা	ই_beg বেম্_mid মা_end
ইবেল	ই_beg বেল_end
ইবেল্	ই_beg বেল্_end
ইবেল্গী	ই_beg বেল্_mid গী_end
ইবোবী	ই_beg বো_mid বী_end
ইবোমচানা	ই_beg বো_ mid ম_mid চা_mid না_end
ইবোমচাসু	ই_beg বোম_mid চা_mid সু_end
ইভেনট	ই_beg ভে_mid নট_end
ইভেন্ট	ই_beg ভেন্ট_end
ইমতোন্গী	ই_beg ম_mid তোন্_mid গী_end
ইমদি	ই_beg ম_mid দি_end
ইমা	ই_beg মা_end
ইমাক	ই_beg মাক_end
ইমাকা	ই_beg মা_mid কা_end
ইমাক্	ই_beg মাক্_end
ইমাক্না	ই_beg মাক্_mid না_end
ইমাক্নে	ই_beg মাক্_mid নে_end
ইমাগী	ই_beg মা_mid গী_end
ইমাগীনা	ই_beg মা_mid গী_mid না_end
ইমাঙ্দা	ই_beg মাঙ্_mid দা_end
ইমাতোন	ই_beg মা_mid তোন_end
ইমাতোনগী	ই_beg মা_mid তো_mid ন_mid গী_end
ইমাতোনগী	ই_beg মা_mid তোন_mid গী_end
ইমাতোন্	ই_beg মা_mid তোন্_end
ইমাতোন্গী	ই_beg মা_mid তোন্_mid গী_end
ইমাতোম্বীনা	ই_beg মা_mid তোম্_mid বী_mid না_end
ইমাদি	ই_beg মা_mid দি_end
ইমাদী	ই_beg মা_mid দী_end
ইমানা	ই_beg মা_mid না_end
ইমান্নবা	ই_beg মান্_mid ন_mid বা_end
ইমাবু	ই_beg মা_mid বু_end
ইমাবূ	ই_beg মা_mid বূ_end
ইমামবার্গাদা	ই_beg মাম_mid বার্_mid গা_mid দা_end
ইমায়	ই_beg মায়_end
ইমায়্	ই_beg মায়্_end
ইমায়্গসি	ই_beg মায়্_mid গ_mid সি_end
ইমায়্পেম্মা	ই_beg মায়্_mid পেম্_mid মা_end
ইমাসি	ই_beg মা_mid সি_end
ইমিংনা	ই_beg মিং_mid না_end
ইমুং	ই_beg মুং_end
ইমুংগী	ই_beg মুং_mid গী_end
ইমুংদগী	ই_beg মুং_mid দ_mid গী_end
ইমুংদা	ই_beg মুং_mid দা_end
ইমুংদু	ই_beg মুং_mid দু_end
ইমুংদুগী	ই_beg মুং_mid দু_mid গী_end
ইমুংদুদগী	ই_beg মুং_mid দু_mid দ_mid গী_end
ইমুংদুদা	ই_beg মুং_mid দু_mid দা_end
ইমুংদো	ই_beg মুং_mid দো_end
ইমুংনা	ই_beg মুং_mid না_end
ইমুংসিগী	ই_beg মুং_mid সি_mid গী_end
ইমূং	ই_beg মূং_end
ইমূংগী	ই_beg মূং_mid গী_end
ইমৈ	ই_beg মৈ_end
ইমৈনি	ই_beg মৈ_mid নি_end
ইম্ফাল	ইম্_beg ফাল_end
ইম্ফালগী	ইম্_beg ফাল_mid গী_end
ইম্ফালদা	ইম্_beg ফাল_mid দা_end
ইম্ফালনা	ইম্_beg ফাল_mid না_end
ইম্ফাল্	ইম্_beg ফাল্_end
ইম্ফাল্গী	ইম্_beg ফাল্_mid গী_end
ইয়র্তাইক	ই_beg য়র্_mid তাইক_end
ইয়া	ই_beg য়া_end
ইয়াদা	ই_beg য়া_mid দা_end
ইয়াম্বগী	ই_beg য়াম্_mid ব_mid গী_end
ইয়াম্বা	ই_beg য়াম্_mid বা_end
ইয়ুম	ই_beg য়ুম_end
ইয়ুম্	ই_beg য়ুম্_end
ইয়োং	ই_beg য়োং_end
ইরক্কে	ই_beg রক্_mid কে_end
ইরাং	ই_beg রাং_end
ইরাঙ	ই_beg রাঙ_end
ইরাঙ্	ই_beg রাঙ্_end
ইরায়	ই_beg রায়_end
ইরায়্	ই_beg রায়্_end
ইরাল	ই_beg রাল_end
ইরাল্	ই_beg রাল্_end
ইরিখোম্বা	ই_beg রি_mid খোম্_mid বা_end
ইরুম্সু	ই_beg রুম্_mid সু_end
ইরেংবম	ই_beg রেং_mid বম_end
ইরেন্জনা	ই_beg রেন্_mid জ_mid না_end
ইরেন্না	ই_beg রেন্_mid না_end
ইরেপ	ই_beg রেপ_end
ইরেপ্	ই_beg রেপ্_end
ইরৈবাক	ই_beg রৈ_mid বাক_end
ইরৈবাক্	ই_beg রৈ_mid বাক্_end
ইরোই	ই_beg রোই_end
ইরোইগী	ই_beg রোই_mid গী_end
ইরোইদা	ই_beg রোই_mid দা_end
ইরোইদু	ই_beg রোই_mid দু_end
ইরোইদুনা	ই_beg রোই_mid দু_mid না_end
ইরোইনা	ই_beg রোই_mid না_end
ইরোইসিনা	ই_beg রোই_mid সি_mid না_end
ইরৌ	ই_beg রৌ_end
ইর্শাদ	ইর্_beg শাদ_end
ইলেক্তিক্ত	ই_beg লেক্_mid তিক্ত_end
ইলেক্ত্রিক	ই_beg লেক্_mid ত্রিক_end
ইলেক্সন	ই_beg লেক্_mid সন_end
ইলেক্সনশিং	ই_beg লেক্_mid সন_mid শিং_end
ইল্লক্পদা	ইল্_beg লক্_mid প_mid দা_end
ইল্লক্পনা	ইল্_beg লক্_mid প_mid না_end
ইল্লক্পা	ইল্_beg লক্_mid পা_end
ইল্লদুনা	ইল্_beg ল_mid দু_mid না_end
ইল্লম্বা	ইল্_beg লম্_mid বা_end
ইল্লে	ইল্_beg লে_end
ইল্হন্ববু	ইল্_beg হন্_mid ব_mid বু_end
ইল্হৌদ্রে	ইল্_beg হৌ_mid দ্রে_end
ইৱাশু	ই_beg ৱা_mid শু_end
ইশক	ই_beg শক_end
ইশক্	ই_beg শক্_end
ইশক্সি	ই_beg শক্_mid সি_end
ইশক্সিবু	ই_beg শক্_mid সি_mid বু_end
ইশম	ই_beg শম_end
ইশম্	ই_beg শম্_end
ইশা	ই_beg শা_end
ইশাও	ই_beg শাও_end
ইশাগাসি	ই_beg শা_mid গা_mid সি_end
ইশাগী	ই_beg শা_mid গী_end
ইশাদা	ই_beg শা_mid দা_end
ইশান	ই_beg শান_end
ইশানাথানন্দ	ই_beg শা_mid না_mid থা_mid নন্দ_end
ইশানৌগী	ই_beg শা_mid নৌ_mid গী_end
ইশান্	ই_beg শান্_end
ইশাবু	ই_beg শা_mid বু_end
ইশায়াংবা	ই_beg শা_mid য়াং_mid বা_end
ইশিং	ই_beg শিং_end
ইশু	ই_beg শু_end
ইশুগীসু	ই_beg শু_mid গী_mid সু_end
ইশুবুদি	ই_beg শু_mid বু_mid দি_end
ইশুশা	ই_beg শু_mid শা_end
ইশূ	ই_beg শূ_end
ইশূশা	ই_beg শূ_mid শা_end
ইশ্লামিক	ইশ্_beg লা_mid মিক_end
ইশ্ৱর্গী	ই_beg শ্ৱর্_mid গী_end
ইশ্ৱর্গী	ইশ্_beg ৱর্_mid গী_end
ইশ্ৱর্না	ইশ্_beg ৱর্_mid না_end
ইষ্ট	ইষ্ট_beg
ইষ্টকী	ইষ্_beg ট_mid কী_end
ইষ্টর্ন	ইষ্_beg টর্ন_end
ইষ্টাব্লিসমেন্টশিং	ইষ্_beg টা_mid ব্লিস_mid মেন্ট_mid শিং_end
ইস	ইস_beg
ইসতার	ইস_beg তার_end
ইসাক	ই_beg সাক_end
ইসু	ই_beg সু_end
ইসুগী	ই_beg সু_mid গী_end
ইসূবূ	ই_beg সূ_mid বূ_end
ইসেন্সিয়েল	ই_beg সেন্_mid সি_mid য়েল_end
ইস্	ইস্_beg
ইস্ত	ইস্ত_beg
ইস্তকী	ইস্_beg ত_mid কী_end
ইস্তার	ইস্_beg তার_end
ইস্তেসন্গী	ইস্_beg তে_mid সন্ _mid গী_end
ইস্নামাবাদতা	ইস্_beg না_mid মা_mid বাদ_mid তা_end
ইস্লামাবাদ	ইস্_beg লা_mid মা_mid বাদ_end
ইস্লামিক	ইস্_beg লা_mid মিক_end
ইহাং	ই_beg হাং_end
ইহাক্থক্কী	ই_beg হাক্_mid থক্_mid কী_end
ইহাঙ	ই_beg হাঙ_end
ইহাঙ্	ই_beg হাঙ্_end
ইহান	ই_beg হান_end
ইহান্	ই_beg হান্_end
ইহান্হান্না	ই_beg হান্_mid হান্_mid না_end
ইহিং	ই_beg হিং_end
ইহুত	ই_beg হুত_end
ইহুত্	ই_beg হুত্_end
ইহুম্কাসি	ই_beg হুম্_mid কা_mid সি_end
ইহে	ই_beg হে_end
ঈ	ঈ_beg
ঈংখরে	ঈং_beg খ_mid রে_end
ঈংখর্বোইরে	ঈং_beg খর্_mid বোই_mid রে_end
ঈংখ্রবোইরে	ঈং_beg খ্র_mid বোই_mid রে_end
ঈংঙে	ঈং_beg ঙে_end
ঈংনা	ঈং_beg না_end
ঈংবা	ঈং_beg বা_end
ঈংলক্লবদি	ঈং_beg লক্_mid ল_mid ব_mid দি_end
ঈক্লগা	ঈক্_beg ল_mid গা_end
ঈচেল	ঈ_beg চেল_end
ঈচেল্	ঈ_beg চেল্_end
ঈচেল্দুদা	ঈ_beg চেল্_mid দু_mid দা_end
ঈজত্	ঈ_beg জত্_end
ঈজ্জত্	ঈজ্_beg জত্_end
ঈতিক	ঈ_beg তিক_end
ঈতিক্	ঈ_beg তিক্_end
ঈথৌদা	ঈ_beg থৌ_mid দা_end
ঈনশীল্লকই	ঈন_beg শীল্_mid লক_mid ই_end
ঈনা	ঈ_beg না_end
ঈনাত্	ঈ_beg নাত্_end
ঈন্থরম্লগা	ঈন্_beg থ_mid রম্_mid ল_mid গা_end
ঈন্থরম্লাগা	ঈন্_beg থ_mid রম্_mid লা_mid গা_end
ঈন্শিল্লে	ঈন্_beg শিল্_mid লে_end
ঈপাউ	ঈ_beg পাউ_end
ঈরাই	ঈ_beg রাই_end
ঈরা	ঈ_beg রা_end
ঈরাত	ঈ_beg রাত_end
ঈরাত্	ঈ_beg রাত্_end
ঈরু	ঈ_beg রু_end
ঈরুজথোক্চরে	ঈ_beg রু_mid জ_mid থোক্_mid চ_mid রে_end
ঈরুজথোক্পিরবদি	ঈ_beg রু_mid জ_mid থোক্_mid পি_mid র_mid ব_mid দি_end
ঈরুজথোক্পিরে	ঈ_beg রু_mid জ_mid থোক্_mid পি_mid রে_end
ঈরুজথোক্পিরো	ঈ_beg রু_mid জ_mid থোক্_mid পি_mid রো_end
ঈরুজথোক্লগা	ঈ_beg রু_mid জ_mid থোক্_mid ল_mid গা_end
ঈরুজথোক্লবদি	ঈ_beg রু_mid জ_mid থোক্_mid ল_mid ব_mid দি_end
ঈরুজদুনা	ঈ_beg রু_mid জ_mid দু_mid না_end
ঈরুজদ্রিবা	ঈ_beg রু_mid জ_mid দ্রি_mid বা_end
ঈরুজনিংবগা	ঈ_beg রু_mid জ_mid নিং_mid ব_mid গা_end
ঈরুজবদগী	ঈ_beg রু_mid জ_mid ব_mid দ_mid গী_end
ঈরুজবা	ঈ_beg রু_mid জ_mid বা_end
ঈরুজবিনবা	ঈ_beg রু_mid জ_mid বি_mid ন_mid বা_end
ঈরুজমিন্নরে	ঈ_beg রু_mid জ_mid মিন্_mid ন_mid রে_end
ঈরুজরগা	ঈ_beg রু_mid জ_mid র_mid গা_end
ঈরুজরিঙৈদা	ঈ_beg রু_mid জ_mid রি_mid ঙৈ_mid দা_end
ঈরুপ্লগা	ঈ_beg রুপ্_mid ল_mid গা_end
ঈরুমাইথজদুনা	ঈ_beg রু_mid মাই_mid থ_mid জ_mid দু_mid না_end
ঈরূপ্পগা	ঈ_beg রূপ্_mid প_mid গা_end
ঈরূপ্পা	ঈ_beg রূপ্_mid পা_end
ঈরোইদুনা	ঈ_beg রোই_mid দু_mid না_end
ঈল	ঈল_beg
ঈল্লক্পদগী	ঈল্_beg লক্_mid প_mid দ_mid গী_end
ঈল্লগা	ঈল্_beg ল_mid গা_end
ঈশাই	ঈ_beg শাই_end
ঈশাইফু	ঈ_beg শাই_mid ফু_end
ঈশাইফুদা	ঈ_beg শাই_mid ফু_mid দা_end
ঈশাইফূ	ঈ_beg শাই_mid ফূ_end
ঈশাইফূদা	ঈ_beg শাই_mid ফূ_mid দা_end
ঈশিং	ঈ_beg শিং_end
ঈশিংকা	ঈ_beg শিং_mid কা_end
ঈশিংগী	ঈ_beg শিং_mid গী_end
ঈশিংচাবা	ঈ_beg শিং_mid চা_mid বা_end
ঈশিংদা	ঈ_beg শিং_mid দা_end
ঈশিংদি	ঈ_beg শিং_mid দি_end
ঈশিংদু	ঈ_beg শিং_mid দু_end
ঈশিংদুদি	ঈ_beg শিং_mid দু_mid দি_end
ঈশিংদো	ঈ_beg শিং_mid দো_end
ঈশিংনা	ঈ_beg শিং_mid না_end
ঈশিত্তুনা	ঈ_beg শিত্_mid তু_mid না_end
ঈশিত্পগী	ঈ_beg শিত্_mid প_mid গী_end
ঈশিত্পদু	ঈ_beg শিত্_mid প_mid দু_end
ঈশিত্পনা	ঈ_beg শিত্_mid প_mid না_end
ঈশিত্পবু	ঈ_beg শিত্_mid প_mid বু_end
ঈশিত্পা	ঈ_beg শিত্_mid পা_end
ঈশিত্লম্মী	ঈ_beg শিত্_mid লম্_mid মী_end
ঈশৈ	ঈ_beg শৈ_end
ঈশৈদা	ঈ_beg শৈ_mid দা_end
ঈশৈদি	ঈ_beg শৈ_mid দি_end
ঈশৈদুনা	ঈ_beg শৈ_mid দু_mid না_end
ঈশৈদুবু	ঈ_beg শৈ_mid দু_mid বু_end
ঈশৈবু	ঈ_beg শৈ_mid বু_end
ঈশৈশিংসু	ঈ_beg শৈ_mid শিং_mid সু_end
ঈশৈসি	ঈ_beg শৈ_mid সি_end
ঈশৈসিনা	ঈ_beg শৈ_mid সি_mid না_end
ঈশ্ৱর্গী	ঈশ্_beg ৱর্_mid গী_end
ঈসিং	ঈ_beg সিং_end
ঈসৈদা	ঈ_beg সৈ_mid দা_end
উই	উই_beg
উইথরক্পা	উই_beg থ_mid রক্_mid পা_end
উইদুনা	উই_beg দু_mid না_end
উইবদগী	উই_beg ব_mid দ_mid গী_end
উইবীরিবরা	উই_beg বী_mid রি_mid ব_mid রা_end
উইশিন্দুনা	উই_beg শিন্_mid দু_mid না_end
উইশিল্লগা	উই_beg শিল্_mid ল_mid গা_end
উ	উ_beg
উকংনসু	উ_beg কং_mid ন_mid সু_end
উক্রোং	উ_beg ক্রোং_end
উক্রোঙ	উ_beg ক্রোঙ_end
উক্রোঙ্	উ_beg ক্রোঙ্_end
উখিদ্রবা	উ_beg খি_mid দ্র_mid বা_end
উখিদ্রে	উ_beg খি_mid দ্রে_end
উখিবা	উ_beg খি_mid বা_end
উখুল	উ_beg খুল_end
উখোং	উ_beg খোং_end
উখোংদা	উ_beg খোং_mid দা_end
উখোক্তেন্দা	উ_beg খোক্_mid তেন্_mid দা_end
উখোঙ্দুদা	উ_beg খোঙ্_mid দু_mid দা_end
উখ্রবোইরে	উ_beg খ্র_mid বোই_mid রে_end
উখ্রুল্গী	উ_beg খ্রুল্_mid গী_end
উগী	উ_beg গী_end
উচন	উ_beg চন_end
উচন্	উ_beg চন্_end
উচি	উ_beg চি_end
উচিনচিংবা	উ_beg চি_mid ন_mid চিং_mid বা_end
উচেক	উ_beg চেক_end
উচেক্	উ_beg চেক্_end
উচেক্কী	উ_beg চেক্_mid কী_end
উচেক্কুম	উ_beg চেক্_mid কুম_end
উচেক্কুম্	উ_beg চেক্_mid কুম্_end
উচেক্কোন্দা	উ_beg চেক্_mid কোন্_mid দা_end
উচেক্তু	উ_beg চেক্_mid তু_end
উচেক্পুম্বা	উ_beg চেক্_mid পুম্_mid বা_end
উচেক্শিংগি	উ_beg চেক্_mid শিং_mid গি_end
উচেক্শিংগী	উ_beg চেক্_mid শিং_mid গী_end
উচেক্শিংদু	উ_beg চেক্_mid শিং_mid দু_end
উচেক্শিংদুনা	উ_beg চেক্_mid শিং_mid দু_mid না_end
উচেক্শিংনা	উ_beg চেক্_mid শিং_mid না_end
উজদুনা	উ_beg জ_mid দু_mid না_end
উজাউ	উ_beg জাউ_end
উট্টর	উট্_beg টর_end
উট্টরাখণ্ডদগীনি	উট্_beg টরা_mid খণ্ড_mid দ_mid গী_mid নি_end
উট্ট্রাখণ্ডদগীনি	উট্_beg ট্রা_mid খণ্ড_mid দ_mid গী_mid নি_end
উত	উত_beg
উতি	উ_beg তি_end
উতুপ	উ_beg তুপ_end
উতুপ্	উ_beg তুপ্_end
উতুপ্না	উ_beg তুপ্_mid না_end
উতোং	উ_beg তোং_end
উতোংদুনা	উ_beg তোং_mid দু_mid না_end
উতোংসি	উ_beg তোং_mid সি_end
উতোন	উ_beg তোন_end
উতোন্	উ_beg তোন্_end
উত্	উত্_beg
উত্কী	উত্_beg কী_end
উত্খি	উত্_beg খি_end
উত্চঙ্বনে	উত্_beg চঙ্_mid ব_mid নে_end
উত্তনবা	উত্_beg ত_mid ন_mid বা_end
উত্তনা	উত্_beg ত_mid না_end
উত্তবা	উত্_beg ত_mid বা_end
উত্তি	উত্_beg তি_end
উত্তুনা	উত্_beg তু_mid না_end
উত্থী	উত্_beg থী_end
উত্থোক্নবদা	উত্_beg থোক্_mid ন_mid ব_mid দা_end
উত্থোক্নসিদো	উত্_beg থোক্_mid ন_mid সি_mid দো_end
উত্থোক্নিংদে	উত্_beg থোক্_mid নিং_mid দে_end
উত্না	উত্_beg না_end
উত্পগী	উত্_beg প_mid গী_end
উত্পা	উত্_beg পা_end
উত্পিয়ুবা	উত্_beg পি_mid য়ু_mid বা_end
উত্রোং	উ_beg ত্রোং_end
উত্রোঙ	উ_beg ত্রোঙ_end
উত্রোঙ্	উ_beg ত্রোঙ্_end
উত্রোঙ্দুগী	উ_beg ত্রোঙ্_mid দু_mid গী_end
উত্লক্কদরা	উত্_beg লক্_mid ক_mid দ_mid রা_end
উত্লক্পদগী	উত্_beg লক্_mid প_mid দ_mid গী_end
উত্লক্লে	উত্_beg লক্_mid লে_end
উত্লদুনা	উত্_beg ল_mid দু_mid না_end
উত্লি	উত্_beg লি_end
উত্লু	উত্_beg লু_end
উত্লুরগে	উত্_beg লু_mid র_mid গে_end
উত্লে	উত্_beg লে_end
উত্লেদো	উত্_beg লে_mid দো_end
উত্সব	উত্_beg সব_end
উত্সব্	উত্_beg সব্_end
উত্সোব্কী	উত্_beg সোব্_mid কী_end
উত্সোব্কীদমক্তা	উত্_beg সোব্_mid কী_mid দ_mid মক্_mid তা_end
উৎলি	উৎ_beg লি_end
উথক্তগী	উ_beg থক্_mid ত_mid গী_end
উথক্তা	উ_beg থক্_mid তা_end
উথক্তুদা	উ_beg থক্_mid তু_mid দা_end
উথোং	উ_beg থোং_end
উথোংদু	উ_beg থোং_mid দু_end
উথোক্তে	উ_beg থোক্_mid তে_end
উদদুনা	উ_beg দ_mid দু_mid না_end
উদনবা	উ_beg দ_mid ন_mid বা_end
উদনা	উ_beg দ_mid না_end
উদবদুদা	উ_beg দ_mid ব_mid দু_mid দা_end
উদবা	উ_beg দ_mid বা_end
উদবী	উ_beg দ_mid বী_end
উদা	উ_beg দা_end
উদায়রনা	উ_beg দা_mid য়র_mid না_end
উদি	উ_beg দি_end
উদে	উ_beg দে_end
উদো	উ_beg দো_end
উদ্রে	উ_beg দ্রে_end
উদ্রেদো	উ_beg দ্রে_mid দো_end
উদ্রেনেহৈ	উ_beg দ্রে_mid নে_mid হৈ_end
উনদনবা	উ_beg ন_mid দ_mid ন_mid বা_end
উনদবোইরে	উ_beg ন_mid দ_mid বোই_mid রে_end
উনদুনা	উ_beg ন_mid দু_mid না_end
উনদ্রিঙৈগী	উ_beg ন_mid দ্রি_mid ঙৈ_mid গী_end
উননবা	উ_beg ন_mid ন_mid বা_end
উননবা	উ_beg নন_mid বা_end
উননরে	উন_beg ন_mid রে_end
উনবমক্তদা	উ_beg ন_mid ব_mid মক্_mid ত_mid দা_end
উনবীয়ু	উ_beg ন_mid বী_mid য়ু_end
উনরগা	উ_beg ন_mid র_mid গা_end
উনরবদা	উ_beg ন_mid র_mid ব_mid দা_end
উনরবা	উ_beg ন_mid র_mid বা_end
উনররে	উ_beg ন_mid র_mid রে_end
উনররোই	উ_beg ন_mid র_mid রোই_end
